"date" "NY-NewYork" "IL-Chicago" "CA-LosAngeles" "Composite-20"
"123" 2010-03-01 169.259994506836 119.709999084473 170.610000610352 143.339996337891
"124" 2010-04-01 168.889999389648 120.430000305176 171.779998779297 144.559997558594
"125" 2010-05-01 170.470001220703 121.900001525879 174.669998168945 146.460006713867
"126" 2010-06-01 172.850006103516 124.900001525879 175.660003662109 147.990005493164
"127" 2010-07-01 175.020004272461 126.169998168945 176.270004272461 148.880004882812
"128" 2010-08-01 175.179992675781 126.699996948242 175.550003051758 148.490005493164
"129" 2010-09-01 174.429992675781 124.76000213623 175.360000610352 147.259994506836
"130" 2010-10-01 171.5 122.279998779297 174.050003051758 145.240005493164
"131" 2010-11-01 169.529998779297 119.569999694824 173.279998779297 143.770004272461
"132" 2010-12-01 167.919998168945 117.860000610352 170.990005493164 142.389999389648
"133" 2011-01-01 165.919998168945 115.779998779297 169.880004882812 140.779998779297
